Facades,Habitable Surface,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,ANTWERPEN,BRUSSEL,HENEGOUWEN,LIMBURG,LUIK,LUXEMBURG,NAMEN,OOST-VLAANDEREN,VLAAMS-BRABANT,WAALS-BRABANT,WEST-VLAANDEREN
2.0,110.0,3.0,1.0,1.0,3.0,2.0,0,0,15.796934865900385,0,4.0,25.0,2.0,80.43838983050847,0,0,0,0,0,0,0,1,0,0,0
2.0,81.0,1.0,1.0,1.0,3.0,1.0,0,1,3.0,0,3.0,33.66778523489933,2.0,317.0,0,1,0,0,0,0,0,0,0,0,0
2.0,112.0,2.0,1.0,2.0,5.0,3.0,0,0,9.578212290502794,0,6.0,33.0,3.0,254.0,0,1,0,0,0,0,0,0,0,0,0
2.0,87.0,2.0,1.0,1.0,2.0,1.0,0,0,14.384615384615383,0,6.0,12.0,7.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
4.0,106.0,2.0,1.0,1.0,4.0,3.0,0,1,21.0,0,6.0,33.44897959183673,7.0,101.74,0,0,0,0,0,0,0,1,0,0,0
4.0,107.0,2.0,2.0,1.0,4.0,3.0,0,1,10.0,0,6.0,56.072463768115945,6.0,133.041484375,0,1,0,0,0,0,0,0,0,0,0
2.0,21.0,1.0,1.0,1.0,2.0,2.0,0,0,8.987179487179487,0,4.0,24.28688524590164,3.0,371.0506329113924,0,1,0,0,0,0,0,0,0,0,0
2.0,88.0,2.0,1.0,2.0,5.0,1.0,0,1,8.0,0,6.0,39.80769230769231,7.0,65.0,0,0,0,0,0,0,1,0,0,0,0
2.0,83.0,2.0,1.0,1.0,2.0,1.0,0,1,11.52906976744186,0,6.0,30.59036144578313,6.0,89.0,0,0,0,0,0,0,1,0,0,0,0
2.0,153.0,2.0,1.0,1.0,2.0,1.0,0,1,78.0,0,6.0,45.16,6.0,138.82,1,0,0,0,0,0,0,0,0,0,0
2.0,83.0,2.0,1.0,1.0,3.0,3.0,0,1,2.0,0,4.0,29.546875,5.0,266.0,1,0,0,0,0,0,0,0,0,0,0
2.0,30.0,0.0,1.0,1.0,2.0,3.0,0,0,8.987179487179487,0,4.0,24.28688524590164,7.0,30.0,0,1,0,0,0,0,0,0,0,0,0
2.0,85.0,2.0,1.0,1.0,4.0,0.0,0,1,7.0,0,6.0,36.0,6.0,144.18260869565216,0,0,0,0,1,0,0,0,0,0,0
2.0,103.0,2.0,1.0,2.0,5.0,0.0,0,1,7.63768115942029,1,4.0,29.546875,5.0,207.0,1,0,0,0,0,0,0,0,0,0,0
4.0,60.0,1.0,1.0,1.0,2.0,3.0,0,1,5.0,0,6.0,20.0,7.0,177.78571428571428,0,0,1,0,0,0,0,0,0,0,0
