Price,Postal Code,Facades,Habitable Surface,Land Surface,Type,Subtype,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,Garden Exists,State of Building,Living Surface,EPC,Consumption Per m2,Heating Type,Province
310000.0,9000,,90.0,,APARTMENT,APARTMENT,2.0,,,2.0,HYPER_EQUIPPED,0,1,11.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
315000.0,9000,,81.0,,APARTMENT,APARTMENT,2.0,,,2.0,HYPER_EQUIPPED,0,1,10.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
340000.0,9000,,88.0,,APARTMENT,APARTMENT,2.0,,,2.0,HYPER_EQUIPPED,0,1,13.0,0,GOOD,,A,20.0,,OOST-VLAANDEREN
365000.0,9000,,101.0,,APARTMENT,APARTMENT,3.0,3.0,1.0,7.0,HYPER_EQUIPPED,0,1,13.0,0,GOOD,31.0,A,25.0,,OOST-VLAANDEREN
390000.0,9000,,96.0,,APARTMENT,APARTMENT,3.0,,,3.0,HYPER_EQUIPPED,0,1,26.0,0,GOOD,,A,25.0,,OOST-VLAANDEREN
400000.0,9000,,111.0,,APARTMENT,APARTMENT,3.0,,,3.0,HYPER_EQUIPPED,0,1,27.0,0,GOOD,31.0,A,25.0,,OOST-VLAANDEREN
260000.0,9000,2.0,99.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,INSTALLED,0,1,4.0,0,GOOD,30.0,B,179.0,FUELOIL,OOST-VLAANDEREN
260000.0,9230,,87.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,,0,1,31.0,0,GOOD,30.0,,,,OOST-VLAANDEREN
300000.0,9230,,89.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,,0,1,29.0,1,GOOD,42.0,,,,OOST-VLAANDEREN
315000.0,9230,,99.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,,0,1,16.0,1,GOOD,45.0,,,,OOST-VLAANDEREN
330000.0,9230,,103.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,,0,1,13.0,0,GOOD,35.0,,,,OOST-VLAANDEREN
335000.0,9230,,91.0,,APARTMENT,APARTMENT,1.0,1.0,1.0,3.0,,0,1,26.0,0,GOOD,34.0,,,,OOST-VLAANDEREN
340000.0,9230,,105.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,,0,1,13.0,0,GOOD,34.0,,,,OOST-VLAANDEREN
365000.0,9230,,105.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,,0,1,16.0,0,GOOD,33.0,,,,OOST-VLAANDEREN
370000.0,9230,,103.0,,APARTMENT,APARTMENT,2.0,1.0,1.0,4.0,,0,1,13.0,0,GOOD,45.0,,,,OOST-VLAANDEREN
